IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",276,"Germany","DE","DEU",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",44.7086786167294
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",276,"Germany","DE","DEU",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",44.8603731487514
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",276,"Germany","DE","DEU",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",44.9519264816772
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",276,"Germany","DE","DEU",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",44.9968665039926
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",276,"Germany","DE","DEU",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",44.9944884339049
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",276,"Germany","DE","DEU",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",44.9498096318697
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",276,"Germany","DE","DEU",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",44.8741583592377
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",276,"Germany","DE","DEU",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",44.8482239182114
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",276,"Germany","DE","DEU",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",44.9146848783929
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",380,"Italy","IT","ITA",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",43.9581553079197
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",380,"Italy","IT","ITA",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",44.3672741643757
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",380,"Italy","IT","ITA",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",44.7706787769823
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",380,"Italy","IT","ITA",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",45.1678044085714
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",380,"Italy","IT","ITA",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",45.5664085481173
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",380,"Italy","IT","ITA",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",45.9942686810107
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",380,"Italy","IT","ITA",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",46.4190759346969
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",380,"Italy","IT","ITA",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",46.8339247778805
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",380,"Italy","IT","ITA",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",47.2652744831644
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",380,"Italy","IT","ITA",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",47.6972857153666
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",45.514372973044
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",45.9224718567613
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",46.3157458375417
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",46.720916587566
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",47.1392773575528
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",47.5721895417224
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",47.9829017714998
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",72,"2021",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",48.3613178767529
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",73,"2022",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",48.7448877105823
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",392,"Japan","JP","JPN",74,"2023",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",49.1401671830243
67,"Median age of population","Median age of the total population","World Population Prospects",2022,"United Nations Population Division",826,"United Kingdom","GB","GBR",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",38.9103036192246
