name,name_kana,partisan,district,number_e,born
山岸　　一生君,"やまぎし
　いっせい",立民,東京9,1,1981年
山際　大志郎君,"やまぎわ
　だいしろう",自民,神奈川18,6,昭和43年
山口　　俊一君,"やまぐち
　しゅんいち",自民,徳島2,11,昭和25年
山口　　　晋君,"やまぐち
　すすむ",自民,埼玉10,1,昭和58年
山口　　　壯君,"やまぐち
　つよし",自民,兵庫12,7,昭和29年
山崎　　　誠君,"やまざき
　まこと",立民,（比）南関東,3,昭和37年
山崎　　正恭君,"やまさき
　まさやす",公明,（比）四国,1,昭和46年
山下　　貴司君,"やました
　たかし",自民,岡山2,4,昭和40年
山田　　勝彦君,"やまだ
　かつひこ",立民,(比)九州,1,昭和54年
山田　　賢司君,"やまだ
　けんじ",自民,兵庫7,4,昭和41年
山田　　美樹君,"やまだ
　みき",自民,東京1,4,昭和49年
山井　　和則君,"やまのい
　かずのり",立民,京都6,8,昭和37年
山本　　剛正君,"やまもと
　ごうせい",維新,（比）九州,2,昭和47年
山本　　左近君,"やまもと
　さこん",自民,（比）東海,1,昭和57年
山本ともひろ君,"やまもと
　ともひろ",自民,（比）南関東,5,昭和50年
山本　　有二君,"やまもと
　ゆうじ",自民,（比）四国,11,昭和27年
柚木　　道義君,"ゆのき
　みちよし",立民,（比）中国,6,昭和47年
湯原　　俊二君,"ゆはら
　しゅんじ",立民,（比）中国,2,昭和37年
義家　　弘介君,"よしいえ
　ひろゆき",自民,（比）南関東,4（参1）,昭和46年
吉川　　　赳君,"よしかわ
　たける",無,（比）東海,3,昭和57年
吉川　　　元君,"よしかわ
　はじめ",立民,（比）九州,4,昭和41年
吉田　久美子君,"よしだ
　くみこ",公明,（比）九州,1,昭和38年
吉田　　統彦君,"よしだ
　つねひこ",立民,（比）東海,3,昭和49年
吉田　とも代君,"よしだ
　ともよ",維新,（比）四国,1,昭和50年
吉田　　豊史君,"よしだ
　とよふみ",維新,（比）北陸信越,2,昭和45年
吉田　　宣弘君,"よしだ
　のぶひろ",公明,（比）九州,3,昭和42年
吉田　はるみ君,"よしだ
　はるみ",立民,東京8,1,昭和47年
吉野　　正芳君,"よしの
　まさよし",自民,福島5,8,昭和23年
米山　　隆一君,"よねやま
　りゅういち",立民,新潟5,1,昭和42年
笠　　　浩史君,"りゅう
　ひろふみ",立民,神奈川9,7,昭和40年
若林　　健太君,"わかばやし
　けんた",自民,長野1,1（参1）,昭和39年
若宮　　健嗣君,"わかみや
　けんじ",自民,（比）東京,5,昭和36年
鷲尾　英一郎君,"わしお
　えいいちろう",自民,（比）北陸信越,6,昭和52年
早稲田　ゆき君,"わせだ
　ゆき",立民,神奈川4,2,昭和33年
和田　有一朗君,"わだ
　ゆういちろう",維新,（比）近畿,1,昭和39年
和田　　義明君,"わだ
　よしあき",自民,北海道5,3,昭和46年
渡辺　　孝一君,"わたなべ
　こういち",自民,（比）北海道,4,昭和32年
渡辺　　　周君,"わたなべ
　しゅう",立民,（比）東海,9,昭和36年
渡辺　　　創君,"わたなべ
　そう",立民,宮崎1,1,昭和52年
渡辺　　博道君,"わたなべ
　ひろみち",自民,千葉6,8,昭和25年
鰐淵　　洋子君,"わにぶち
　ようこ",公明,（比）近畿,2（参1）,昭和47年
